"","honeycomb","score"
"331","caelort",1588
"332","eaclort",2085
"333","laceort",1528
"334","oacelrt",1402
"335","racelot",2016
"336","tacelor",1932
"337","acegint",1132
"338","caegint",662
"339","eacgint",848
"340","gaceint",786
"341","iacegnt",1128
"342","nacegit",1295
"343","tacegin",1119
"344","acenort",1911
"345","caenort",1706
"346","eacnort",2142
"347","naceort",1769
"348","oacenrt",1535
"349","racenot",2188
"350","tacenor",2306
"351","acelntu",1068
"352","caelntu",728
"353","eaclntu",1057
"354","lacentu",939
"355","naceltu",897
"356","tacelnu",902
"357","uacelnt",597
"358","acdentu",1103
"359","cadentu",766
"360","dacentu",1147
"361","eacdntu",1389
"362","nacdetu",1114
"363","tacdenu",1112
"364","uacdent",748
"365","abcelpt",921
"366","bacelpt",415
"367","cabelpt",414
"368","eabclpt",882
"369","labcept",849
"370","pabcelt",529
"371","tabcelp",640
"372","aceiptv",491
"373","caeiptv",410
"374","eaciptv",505
"375","iaceptv",480
"376","paceitv",339
"377","taceipv",520
"378","vaceipt",260
"379","aceoprt",1606
"380","caeoprt",1159
"381","eacoprt",1850
"382","oaceprt",1241
"383","paceort",1274
"384","raceopt",1989
"385","taceopr",1778
"386","acdeint",1518
"387","cadeint",1254
"388","daceint",1453
"389","eacdint",1735
"390","iacdent",1385
"391","nacdeit",1577
"392","tacdein",1547
"393","aceiprt",1894
"394","caeiprt",1384
"395","eaciprt",2235
"396","iaceprt",1590
"397","paceirt",1492
"398","raceipt",2280
"399","taceipr",1828
"400","aceilmr",1394
"401","caeilmr",1003
"402","eacilmr",1374
"403","iacelmr",1112
"404","laceimr",1136
"405","maceilr",1019
"406","raceilm",1258
"407","acgilmn",1247
"408","cagilmn",611
"409","gacilmn",932
"410","iacglmn",1285
"411","lacgimn",1020
"412","macgiln",767
"413","nacgilm",1182
"414","aceilmt",1083
"415","caeilmt",784
"416","eacilmt",952
"417","iacelmt",911
"418","laceimt",1024
"419","maceilt",698
"420","taceilm",867
"421","aciltvy",553
"422","cailtvy",519
"423","iacltvy",585
"424","lacitvy",552
"425","tacilvy",425
"426","vacilty",216
"427","yaciltv",337
"428","acdemot",542
"429","cademot",459
"430","dacemot",554
"431","eacdmot",724
"432","macdeot",501
"433","oacdemt",541
"434","tacdemo",537
"435","acdmort",525
"436","cadmort",320
"437","dacmort",193
"438","macdort",330
"439","oacdmrt",457
"440","racdmot",464
"441","tacdmor",404
"442","acmnopy",314
"443","camnopy",208
"444","macnopy",244
"445","nacmopy",256
"446","oacmnpy",286
"447","pacmnoy",166
"448","yacmnop",199
"449","acdenor",1217
"450","cadenor",1273
"451","dacenor",1616
"452","eacdnor",1833
"453","nacdeor",1227
"454","oacdenr",1216
"455","racdeno",1572
"456","acdnort",773
"457","cadnort",572
"458","dacnort",282
"459","nacdort",644
"460","oacdnrt",753
"461","racdnot",675
"462","tacdnor",663
"463","acdinor",796
"464","cadinor",804
"465","dacinor",671
"466","iacdnor",791
"467","nacdior",744
"468","oacdinr",690
"469","racdino",661
"470","acehoru",406
"471","caehoru",534
"472","eachoru",409
"473","haceoru",386
"474","oacehru",361
"475","racehou",559
"476","uacehor",225
"477","acnotuy",317
"478","canotuy",336
"479","nacotuy",360
"480","oacntuy",330
"481","tacnouy",336
"482","uacnoty",174
"483","yacnotu",167
"484","aceortu",1076
"485","caeortu",974
"486","eacortu",1254
"487","oacertu",867
"488","raceotu",1442
"489","taceoru",1369
"490","uaceort",605
"491","acdeirt",2423
"492","cadeirt",1902
"493","daceirt",2246
"494","eacdirt",3023
"495","iacdert",2058
"496","racdeit",2865
"497","tacdeir",2333
"498","aceirtv",1380
"499","caeirtv",1049
"500","eacirtv",1629
"501","iacertv",1269
"502","raceitv",1632
"503","taceirv",1431
"504","vaceirt",765
"505","abcelru",1018
"506","bacelru",808
"507","cabelru",674
"508","eabclru",1079
"509","labceru",966
"510","rabcelu",971
"511","uabcelr",616
"512","acginru",644
"513","caginru",390
"514","gacinru",632
"515","iacgnru",777
"516","nacgiru",759
"517","racginu",655
"518","uacginr",375
"519","acelrtu",1467
"520","caelrtu",1147
"521","eaclrtu",1677
"522","lacertu",1152
"523","raceltu",1543
"524","tacelru",1420
"525","uacelrt",764
"526","acelmtu",684
"527","caelmtu",421
"528","eaclmtu",702
"529","lacemtu",670
"530","maceltu",486
"531","tacelmu",613
"532","uacelmt",410
"533","aceinrt",2679
"534","caeinrt",1982
"535","eacinrt",2945
"536","iacenrt",2311
"537","naceirt",2414
"538","raceint",2909
"539","taceinr",2972
"540","abceltu",797
"541","baceltu",618
"542","cabeltu",422
"543","eabcltu",801
"544","labcetu",803
"545","tabcelu",658
"546","uabcelt",489
"547","acdeimt",892
"548","cadeimt",703
"549","daceimt",898
"550","eacdimt",1023
"551","iacdemt",894
"552","macdeit",696
"553","tacdeim",744
"554","acdefit",604
"555","cadefit",656
"556","dacefit",701
"557","eacdfit",773
"558","facdeit",381
"559","iacdeft",557
"560","tacdefi",594
"561","acefity",250
"562","caefity",234
"563","eacfity",194
"564","faceity",172
"565","iacefty",194
"566","tacefiy",272
"567","yacefit",96
"568","aceinot",1232
"569","caeinot",1286
"570","eacinot",1017
"571","iacenot",1212
"572","naceiot",1558
"573","oaceint",1157
"574","taceino",1488
"575","acdelty",811
"576","cadelty",481
"577","dacelty",563
"578","eacdlty",865
"579","lacdety",761
"580","tacdely",525
"581","yacdelt",381
"582","acelnty",954
"583","caelnty",558
"584","eaclnty",859
"585","lacenty",757
"586","nacelty",656
"587","tacelny",714
"588","yacelnt",385
"589","aceilty",897
"590","caeilty",826
"591","eacilty",664
"592","iacelty",724
"593","laceity",984
"594","taceily",782
"595","yaceilt",464
"596","acehiln",822
"597","caehiln",832
"598","eachiln",731
"599","haceiln",450
"600","iacehln",711
"601","lacehin",862
"602","nacehil",674
"603","acdehiv",310
"604","cadehiv",350
"605","dacehiv",443
"606","eacdhiv",457
"607","hacdeiv",197
"608","iacdehv",346
"609","vacdehi",205
"610","acehirv",571
"611","caehirv",559
"612","eachirv",722
"613","haceirv",349
"614","iacehrv",573
"615","racehiv",757
"616","vacehir",377
"617","acehiot",418
"618","caehiot",549
"619","eachiot",356
"620","haceiot",357
"621","iacehot",256
"622","oacehit",265
"623","tacehio",500
"624","achmort",620
"625","cahmort",508
"626","hacmort",353
"627","machort",326
"628","oachmrt",560
"629","rachmot",529
"630","tachmor",517
"631","achimor",396
"632","cahimor",463
"633","hacimor",309
"634","iachmor",312
"635","machior",316
"636","oachimr",384
"637","rachimo",395
"638","acdefir",1114
"639","cadefir",866
"640","dacefir",1267
"641","eacdfir",1605
"642","facdeir",742
"643","iacdefr",1102
"644","racdefi",1487
"645","acfimor",303
"646","cafimor",273
"647","facimor",143
"648","iacfmor",268
"649","macfior",258
"650","oacfimr",255
"651","racfimo",285
"652","acelmot",846
"653","caelmot",616
"654","eaclmot",784
"655","lacemot",774
"656","macelot",563
"657","oacelmt",652
"658","tacelmo",762
"659","aceloty",659
"660","caeloty",567
"661","eacloty",559
"662","laceoty",709
"663","oacelty",461
"664","taceloy",569
"665","yacelot",325
"666","acinqtu",383
"667","cainqtu",274
"668","iacnqtu",386
"669","naciqtu",393
"670","qacintu",158
"671","tacinqu",381
"672","uacinqt",225
"673","aceiqru",379
"674","caeiqru",346
"675","eaciqru",425
"676","iaceqru",349
"677","qaceiru",154
"678","raceiqu",472
"679","uaceiqr",278
"680","acilqtu",291
"681","cailqtu",259
"682","iaclqtu",305
"683","laciqtu",286
"684","qaciltu",68
"685","tacilqu",231
"686","uacilqt",138
"687","acdeinr",1631
"688","cadeinr",1338
"689","daceinr",1738
"690","eacdinr",1964
"691","iacdenr",1448
"692","nacdeir",1267
"693","racdein",1769
"694","acdirty",523
"695","cadirty",400
"696","dacirty",306
"697","iacdrty",440
"698","racdity",410
"699","tacdiry",382
"700","yacdirt",207
"701","acdilry",661
"702","cadilry",490
"703","dacilry",409
"704","iacdlry",614
"705","lacdiry",553
"706","racdily",420
"707","yacdilr",426
"708","abciort",755
"709","baciort",436
"710","cabiort",599
"711","iabcort",523
"712","oabcirt",611
"713","rabciot",670
"714","tabcior",646
"715","acegnor",866
"716","caegnor",603
"717","eacgnor",916
"718","gacenor",719
"719","nacegor",860
"720","oacegnr",640
"721","racegno",963
"722","acilmor",739
"723","cailmor",566
"724","iaclmor",507
"725","lacimor",586
"726","macilor",496
"727","oacilmr",476
"728","racilmo",514
"729","acimnor",836
"730","caimnor",733
"731","iacmnor",748
"732","macinor",710
"733","nacimor",835
"734","oacimnr",787
"735","racimno",617
"736","acmnory",516
"737","camnory",368
"738","macnory",354
"739","nacmory",399
"740","oacmnry",452
"741","racmnoy",382
"742","yacmnor",267
"743","acelrty",1500
"744","caelrty",921
"745","eaclrty",1515
"746","lacerty",1142
"747","racelty",1359
"748","tacelry",1221
"749","yacelrt",609
"750","abcilty",629
"751","bacilty",282
"752","cabilty",465
"753","iabclty",588
"754","labcity",617
"755","tabcily",435
"756","yabcilt",362
"757","acilnty",1077
"758","cailnty",853
"759","iaclnty",1028
"760","lacinty",889
"761","nacilty",765
"762","tacilny",821
"763","yacilnt",615
"764","acimntu",568
"765","caimntu",327
"766","iacmntu",545
"767","macintu",368
"768","nacimtu",551
"769","tacimnu",442
"770","uacimnt",201
"771","acdinot",1084
"772","cadinot",1054
"773","dacinot",608
"774","iacdnot",1150
"775","nacdiot",1098
"776","oacdint",1030
"777","tacdino",1008
"778","acdeitv",778
"779","cadeitv",734
"780","daceitv",810
"781","eacditv",934
"782","iacdetv",858
"783","tacdeiv",771
"784","vacdeit",562
"785","acgintv",790
"786","cagintv",485
"787","gacintv",606
"788","iacgntv",873
"789","nacgitv",833
"790","tacginv",674
"791","vacgint",324
"792","acinotv",951
"793","cainotv",893
"794","iacnotv",954
"795","naciotv",997
"796","oacintv",858
"797","tacinov",938
"798","vacinot",374
"799","aciortv",550
"800","caiortv",472
"801","iacortv",429
"802","oacirtv",391
"803","raciotv",505
"804","taciorv",558
"805","vaciort",170
"806","aceitvz",264
"807","caeitvz",232
"808","eacitvz",236
"809","iacetvz",272
"810","taceivz",295
"811","vaceitz",182
"812","zaceitv",45
"813","aciltuy",493
"814","cailtuy",487
"815","iacltuy",486
"816","lacituy",529
"817","taciluy",414
"818","uacilty",163
"819","yaciltu",339
"820","acilrtu",962
"821","cailrtu",823
"822","iaclrtu",837
"823","lacirtu",763
"824","raciltu",790
"825","tacilru",732
"826","uacilrt",526
"827","acgintu",691
"828","cagintu",415
"829","gacintu",622
"830","iacgntu",838
"831","nacgitu",826
"832","tacginu",687
"833","uacgint",325
"834","acinotu",869
"835","cainotu",910
"836","iacnotu",899
"837","naciotu",1035
"838","oacintu",884
"839","tacinou",970
"840","uacinot",385
"841","aceltuy",506
"842","caeltuy",408
"843","eacltuy",496
"844","lacetuy",544
"845","taceluy",460
"846","uacelty",233
"847","yaceltu",262
"848","acilnoy",823
"849","cailnoy",858
"850","iaclnoy",757
"851","lacinoy",870
"852","naciloy",799
"853","oacilny",713
"854","yacilno",508
"855","adeimnt",1690
"856","daeimnt",1466
"857","eadimnt",1977
"858","iademnt",1453
"859","madeint",1434
"860","nadeimt",1764
"861","tadeimn",1542
"862","adlmnty",351
"863","dalmnty",123
"864","ladmnty",212
"865","madlnty",187
"866","nadlmty",216
"867","tadlmny",138
"868","yadlmnt",180
"869","abdelpt",1314
"870","badelpt",701
"871","dabelpt",967
"872","eabdlpt",1499
"873","labdept",1297
"874","pabdelt",775
"875","tabdelp",877
"876","adinopt",555
"877","dainopt",319
"878","iadnopt",626
"879","nadiopt",629
"880","oadinpt",556
"881","padinot",411
"882","tadinop",555
"883","adginpt",640
"884","daginpt",257
"885","gadinpt",670
"886","iadgnpt",818
"887","nadgipt",802
"888","padgint",417
"889","tadginp",463
"890","adeiptv",418
"891","daeiptv",497
"892","eadiptv",648
"893","iadeptv",470
"894","padeitv",350
"895","tadeipv",519
"896","vadeipt",311
"897","adiptvy",153
"898","daiptvy",131
"899","iadptvy",133
"900","paditvy",114
"901","tadipvy",130
"902","vadipty",93
"903","yadiptv",126
"904","acdgint",776
"905","cadgint",504
"906","dacgint",368
"907","gacdint",588
"908","iacdgnt",920
"909","nacdgit",822
"910","tacdgin",609
"911","adilnot",852
"912","dailnot",436
"913","iadlnot",786
"914","ladinot",663
"915","nadilot",806
"916","oadilnt",752
"917","tadilno",703
"918","adiorty",393
"919","daiorty",301
"920","iadorty",272
"921","oadirty",349
"922","radioty",425
"923","tadiory",422
"924","yadiort",214
"925","acdginu",403
"926","cadginu",254
"927","dacginu",316
"928","gacdinu",379
"929","iacdgnu",504
"930","nacdgiu",468
"931","uacdgin",195
"932","acdortu",432
"933","cadortu",303
"934","dacortu",180
"935","oacdrtu",418
"936","racdotu",430
"937","tacdoru",382
"938","uacdort",266
"939","adegimn",1209
"940","daegimn",1158
"941","eadgimn",1234
"942","gadeimn",967
"943","iadegmn",1163
"944","madegin",1067
"945","nadegim",1314
"946","adeilno",876
"947","daeilno",1038
"948","eadilno",1097
"949","iadelno",867
"950","ladeino",1055
"951","nadeilo",924
"952","oadeiln",617
"953","ademnot",1045
"954","daemnot",1029
"955","eadmnot",1340
"956","madenot",896
"957","nademot",1145
"958","oademnt",725
"959","tademno",1005
"960","adelpty",1075
"961","daelpty",748
"962","eadlpty",1126
"963","ladepty",1044
"964","padelty",830
"965","tadelpy",736
"966","yadelpt",431
"967","acdequy",141
"968","cadequy",147
"969","dacequy",201
"970","eacdquy",177
"971","qacdeuy",50
"972","uacdeqy",135
"973","yacdequ",77
"974","acdehnr",1209
"975","cadehnr",814
"976","dacehnr",1140
"977","eacdhnr",1400
"978","hacdenr",626
"979","nacdehr",749
"980","racdehn",1173
"981","adehnrt",1824
"982","daehnrt",1453
"983","eadhnrt",2240
"984","hadenrt",776
"985","nadehrt",1193
"986","radehnt",1845
"987","tadehnr",1668
"988","abdehit",433
"989","badehit",395
"990","dabehit",503
"991","eabdhit",570
"992","habdeit",271
"993","iabdeht",313
"994","tabdehi",440
"995","acdejny",296
"996","cadejny",208
"997","dacejny",291
"998","eacdjny",295
"999","jacdeny",48
"1000","nacdejy",259
"1001","yacdejn",156
"1002","acdejnt",649
"1003","cadejnt",446
"1004","dacejnt",579
"1005","eacdjnt",776
"1006","jacdent",88
"1007","nacdejt",625
"1008","tacdejn",613
"1009","adeijno",214
"1010","daeijno",359
"1011","eadijno",328
"1012","iadejno",274
"1013","jadeino",95
"1014","nadeijo",375
"1015","oadeijn",219
"1016","adgijno",304
"1017","dagijno",346
"1018","gadijno",475
"1019","iadgjno",504
"1020","jadgino",110
"1021","nadgijo",534
"1022","oadgijn",354
"1023","adijnot",303
"1024","daijnot",206
"1025","iadjnot",337
"1026","jadinot",64
"1027","nadijot",362
"1028","oadijnt",308
"1029","tadijno",295
"1030","adjnoru",170
"1031","dajnoru",185
"1032","jadnoru",57
"1033","nadjoru",140
"1034","oadjnru",180
"1035","radjnou",184
"1036","uadjnor",144
"1037","adgijnu",245
"1038","dagijnu",214
"1039","gadijnu",334
"1040","iadgjnu",352
"1041","jadginu",97
"1042","nadgiju",366
"1043","uadgijn",151
"1044","acdjntu",127
"1045","cadjntu",71
"1046","dacjntu",61
"1047","jacdntu",44
"1048","nacdjtu",104
"1049","tacdjnu",90
"1050","uacdjnt",91
"1051","adjntuv",109
"1052","dajntuv",52
"1053","jadntuv",40
"1054","nadjtuv",90
"1055","tadjnuv",88
"1056","uadjntv",75
"1057","vadjntu",46
"1058","adgimnr",1035
"1059","dagimnr",611
"1060","gadimnr",981
"1061","iadgmnr",1055
"1062","madginr",657
"1063","nadgimr",1092
"1064","radgimn",789
"1065","adeimrt",2040
"1066","daeimrt",1834
"1067","eadimrt",2826
"1068","iademrt",1699
"1069","madeirt",1517
"1070","radeimt",2487
"1071","tadeimr",1994
"1072","adgimnt",821
"1073","dagimnt",348
"1074","gadimnt",700
"1075","iadgmnt",891
"1076","madgint",554
"1077","nadgimt",898
"1078","tadgimn",532
"1079","adgimnx",448
"1080","dagimnx",239
"1081","gadimnx",386
"1082","iadgmnx",479
"1083","madginx",371
"1084","nadgimx",474
"1085","xadgimn",88
"1086","adimnot",855
"1087","daimnot",475
"1088","iadmnot",831
"1089","madinot",702
"1090","nadimot",878
"1091","oadimnt",740
"1092","tadimno",678
"1093","adeoprt",1995
"1094","daeoprt",1886
"1095","eadoprt",2719
"1096","oadeprt",1495
"1097","padeort",1791
"1098","radeopt",2660
"1099","tadeopr",2075
"1100","abdelor",1568
"1101","badelor",1465
"1102","dabelor",1698
"1103","eabdlor",2030
"1104","labdeor",1381
"1105","oabdelr",1144
"1106","rabdelo",1681
"1107","abdlory",474
"1108","badlory",398
"1109","dablory",341
"1110","labdory",430
"1111","oabdlry",472
"1112","rabdloy",381
"1113","yabdlor",346
"1114","adinort",1075
"1115","dainort",593
"1116","iadnort",951
"1117","nadiort",992
"1118","oadinrt",970
"1119","radinot",958
"1120","tadinor",1055
"1121","adginor",867
"1122","daginor",771
"1123","gadinor",1116
"1124","iadgnor",1110
"1125","nadgior",1226
"1126","oadginr",757
"1127","radgino",885
"1128","adeilnr",1615
"1129","daeilnr",1811
"1130","eadilnr",2140
"1131","iadelnr",1505
"1132","ladeinr",1415
"1133","nadeilr",1244
"1134","radeiln",1618
"1135","adeiort",1470
"1136","daeiort",1651
"1137","eadiort",2104
"1138","iadeort",1190
"1139","oadeirt",925
"1140","radeiot",2149
"1141","tadeior",1738
"1142","adlortu",386
"1143","dalortu",245
"1144","ladortu",283
"1145","oadlrtu",366
"1146","radlotu",387
"1147","tadloru",333
"1148","uadlort",278
"1149","adelrtu",1544
"1150","daelrtu",1360
"1151","eadlrtu",1958
"1152","ladertu",1196
"1153","radeltu",1618
"1154","tadelru",1371
"1155","uadelrt",778
"1156","adhlotu",268
"1157","dahlotu",146
"1158","hadlotu",198
"1159","ladhotu",266
"1160","oadhltu",273
"1161","tadhlou",175
"1162","uadhlot",124
"1163","abdlmru",356
"1164","badlmru",163
"1165","dablmru",158
"1166","labdmru",253
"1167","mabdlru",237
"1168","rabdlmu",270
"1169","uabdlmr",276
"1170","acdenrv",1066
"1171","cadenrv",673
"1172","dacenrv",1013
"1173","eacdnrv",1358
"1174","nacderv",831
"1175","racdenv",1129
"1176","vacdenr",543
"1177","acdginv",418
"1178","cadginv",238
"1179","dacginv",291
"1180","gacdinv",332
"1181","iacdgnv",507
"1182","nacdgiv",461
"1183","vacdgin",182
"1184","adegntv",698
"1185","daegntv",569
"1186","eadgntv",827
"1187","gadentv",347
"1188","nadegtv",667
"1189","tadegnv",549
"1190","vadegnt",312
"1191","adgintv",534
"1192","dagintv",276
"1193","gadintv",565
"1194","iadgntv",670
"1195","nadgitv",656
"1196","tadginv",412
"1197","vadgint",251
"1198","adeintv",969
"1199","daeintv",1063
"1200","eadintv",1400
"1201","iadentv",1025
"1202","nadeitv",1184
"1203","tadeinv",1098
"1204","vadeint",689
"1205","adenrtv",1634
"1206","daenrtv",1390
"1207","eadnrtv",2165
"1208","nadertv",1361
"1209","radentv",1775
"1210","tadenrv",1541
"1211","vadenrt",707
"1212","acdeotv",382
"1213","cadeotv",406
"1214","daceotv",456
"1215","eacdotv",536
"1216","oacdetv",396
"1217","tacdeov",447
"1218","vacdeot",258
"1219","acdortv",318
"1220","cadortv",206
"1221","dacortv",113
"1222","oacdrtv",278
"1223","racdotv",266
"1224","tacdorv",277
"1225","vacdort",77
"1226","acdimny",513
"1227","cadimny",328
"1228","dacimny",318
"1229","iacdmny",415
"1230","macdiny",335
"1231","nacdimy",396
"1232","yacdimn",222
"1233","acdeimu",463
"1234","cadeimu",427
"1235","daceimu",588
"1236","eacdimu",549
"1237","iacdemu",447
"1238","macdeiu",402
"1239","uacdeim",218
"1240","aeginrt",3372
"1241","eaginrt",3769
"1242","gaeinrt",3095
"1243","iaegnrt",3406
"1244","naegirt",3782
"1245","raegint",3898
"1246","taeginr",3421
"1247","aeinort",1849
"1248","eainort",2122
"1249","iaenort",1754
"1250","naeiort",2068
"1251","oaeinrt",1254
"1252","raeinot",2310
"1253","taeinor",2570
"1254","aefimor",499
"1255","eafimor",763
"1256","faeimor",501
"1257","iaefmor",463
"1258","maefior",542
"1259","oaefimr",339
"1260","raefimo",822
"1261","abceior",586
"1262","baceior",551
"1263","cabeior",621
"1264","eabcior",634
"1265","iabceor",515
"1266","oabceir",390
"1267","rabceio",778
"1268","abdekor",816
"1269","badekor",803
"1270","dabekor",958
"1271","eabdkor",1114
"1272","kabdeor",351
"1273","oabdekr",634
"1274","rabdeko",1064
"1275","adenory",739
"1276","daenory",1032
"1277","eadnory",1073
"1278","nadeory",674
"1279","oadenry",533
"1280","radenoy",957
